Net_Name,Net_Pins
3.3V_QSFP0,C95.1 C388.1 C389.1 C567.1 C666.1 L17.1 L18.2 L21.1 R284.1 R291.1 R337.1 R338.1 R351.1 R368.1 TP12058.1 U41.4 U41.5
3.3V_RCLK_LVDS,C218.1 L10.1 R189.2 TP11668.1
3.3V_RCLK_LVDS_OCS,C43.1 C217.1 L10.2 R202.1 TP11667.1 U14.6
3.3V_RTC_VOUT,C569.1 TP12087.1 U45.9
3.3V_SH,C1.1 C2.1 C8.1 C9.1 C28.1 C179.1 C593.1 C607.1 D2.3 JH1.1 R141.1 R142.1 R344.2 R350.1 R362.1 R363.1 TP11433.1 U2.5 U3.5 U5.5 U6.5 U18.5 U32.5 U47.8
3.3V_USB_OSC,C153.1 C154.1 L9.2 R122.1 TP12208.1 U27.4
3.3V_VCC1_P0,C566.1 C573.1 J4.30 L17.2 TP12055.1
3.3V_VCC_RX_P0,C583.1 C584.1 J4.10 L18.1 TP12057.1
3.3V_VCC_TX_P0,C598.1 C599.1 J4.29 L21.2 TP12056.1
3.3V_VDDA,C166.1 C614.1 C615.1 R402.2 TP12075.1 U31.21
3.3V_VDD_RTC,C478.1 C574.1 R331.2 R344.1 TP12113.1 U42.2 U45.8
3.3V_VIN_CONT,C138.1 C578.1 R95.1 R346.2 TP12303.1 U23.39
3V_DIF_RTC,C436.1 R299.1 TP12373.1 U42.9
3V_RTC_VBAT,C548.1 R299.2 R317.2 TP12088.1 U45.10
3V_VBAT,J50.1 R317.1 TP12209.1
5V,C89.1 C120.1 C137.1 C143.1 C668.1 R63.1 R86.1 R348.1 TP12345.1 U17.4 U20.4 U22.4 U22.5
12V,C59.1 C70.1 C86.1 C93.1 C94.1 C99.1 C100.1 C102.1 C107.1 C108.1 C115.1 C116.1 C131.1 C132.1 C135.1 C136.1 C142.1 C171.1 C231.1 C243.1 C273.1 C276.1 C333.1 C334.1 C394.1 C434.1 C435.1 C438.1 C439.1 C440.1 C482.1 C571.1 C580.1 C587.1 C603.1 C613.1 C626.1 F1.2 J36.2 JH11.1 R300.1 R374.1 R381.1 TP11812.1 TP12047.1 TP12048.1 TP12274.1 TP12378.1 TP12379.1 TP12380.1 TP12381.1 TP12382.1 TP12384.1 U16.10 U16.21 U17.25 U17.26 U17.27 U17.28 U17.29 U17.30 U19.10 U19.21 U20.25 U20.26 U20.27 U20.28 U20.29 U20.30 U22.2 U39.2 U41.2 U43.2
12V_PCIE_IN,F1.1 J1.A2 J1.A3 J1.B1 J1.B2 J1.B3 TP11843.1
ADDR_PMBUS_SVID_CONT,R325.1 R326.1 TP12306.1 U23.34
AD_TEMP_SENS_GW4,R330.2 R339.1 R341.2 R342.2 TP12063.1 U46.4
AGND_1.2V_DDR,C112.1 R85.2 R306.2 SH10.2 U19.2
AGND_5V,C144.2 SH15.1
AG_1.2V_DDR_BST,R307.1 TP11521.1 U19.1
AG_1.2V_DDR_BST_R,C524.1 R307.2 TP11366.1
AG_1.2V_DDR_PH,C524.2 L4.1 R301.1 TP11367.1 U19.20
AG_1.2V_DDR_PH_R,C392.1 R301.2 TP11365.1
AG_1.8V_BST,R66.1 TP11532.1 U16.1
AG_1.8V_BST_R,C321.1 R66.2 TP11605.1
AG_1.8V_PH,C321.2 L1.1 R273.1 TP12389.1 U16.20
AG_1.8V_PH_R,C322.1 R273.2 TP11302.1
AG_PWM,Q2.1 R393.2 TP12042.1 U1.K32
AG_SW_VCORE_P1,C88.1 L2.1 TP12337.1 U17.10 U17.11 U17.12 U17.13 U17.14 U17.15 U17.16 U17.17 U17.18 U17.19
AG_SW_VCORE_P2,C119.1 L5.1 TP12193.1 U20.10 U20.11 U20.12 U20.13 U20.14 U20.15 U20.16 U20.17 U20.18 U20.19
AG_TACH,R382.2 R383.2 TP12346.1 U1.L32
AG_VCORE_PWM1,TP12299.1 U17.34 U23.8
AG_VCORE_PWM2,TP12298.1 U20.34 U23.7
AG_VCORE_RC_SNB_P1,C88.2 R68.1 TP12330.1
AG_VCORE_RC_SNB_P2,C119.2 R89.1 TP12334.1
DDR4_A0,R170.1 U1.AR36 U9.L3 U10.L3 U11.L3 U12.L3 U13.L3 U34.L3 U35.L3 U36.L3 U37.L3
DDR4_A1,R160.1 U1.AU34 U9.L7 U10.L7 U11.L7 U12.L7 U13.L7 U34.L7 U35.L7 U36.L7 U37.L7
