Net_Name,Net_Pins
MDC2_ARM,R41.1 R178.1 R232.2 TP11845.1 U1.L31 U15.50
MDIO2_ARM,R26.2 R27.1 R211.1 TP11592.1 U1.V33 U15.51
NC_4PINS_VBUS,J55.1 TP12328.1
NC_CAGE1,J3.1
NC_CAGE2,J3.2
NC_CAGE9,J3.9
NC_CAGE10,J3.10
NC_DDR4_DTO0,TP11777.1 U1.AJ24
NC_DDR_INTERNAL_VREF,TP11774.1 U1.AJ22
NC_GMII_COL,TP12316.1 U15.52
NC_GMII_CRS,TP12321.1 U15.49
NC_GMII_REF_CLK,R23.1 R24.2 TP11594.1 U15.55
NC_JTAG_CSIGHT_TCK,R296.2 TP12159.1 U1.J35
NC_JTAG_CSIGHT_TDI,R286.2 TP12156.1 U1.J34
NC_JTAG_CSIGHT_TDO,R285.2 TP12155.1 U1.H35
NC_JTAG_CSIGHT_TMS,R294.2 TP12157.1 U1.H34
NC_JTAG_CSIGHT_TRST_L,R295.2 TP12158.1 U1.H32
NC_PRBG,TP12179.1 U1.T32
NC_PRBP,TP12178.1 U1.P32
NC_TEN_FET,Q1.1 R254.1 TP12322.1
NC_USBPHY_VBUS,TP12319.1 U29.13
NC_USB_ID,J46.4 TP12188.1
NC_USB_VBUS,J46.1 TP12189.1
NC_VDDHSPX_SENSE,TP11773.1 U1.AF11
NC_VDDHS_SENSE,TP11778.1 U1.N9
NC_VDDIPX_SENSE,TP11775.1 U1.AF12
NC_VDDI_SENSE,TP12286.1 U1.T9
N_FRU_A0,R360.1 R363.2 TP11410.1 U47.1
N_FRU_A1,R361.1 R362.2 TP11411.1 U47.2
N_FRY_A2,R349.1 R350.2 TP11412.1 U47.3
PCIE_BF_CPU_00N,C657.2 J1.A17
PCIE_BF_CPU_00N_C,C657.1 U1.E7
PCIE_BF_CPU_00P,C658.2 J1.A16
PCIE_BF_CPU_00P_C,C658.1 U1.E6
PCIE_BF_CPU_01N,C655.2 J1.A22
PCIE_BF_CPU_01N_C,C655.1 U1.G7
PCIE_BF_CPU_01P,C656.2 J1.A21
PCIE_BF_CPU_01P_C,C656.1 U1.G6
PCIE_BF_CPU_02N,C653.2 J1.A26
PCIE_BF_CPU_02N_C,C653.1 U1.J7
PCIE_BF_CPU_02P,C654.2 J1.A25
PCIE_BF_CPU_02P_C,C654.1 U1.J6
PCIE_BF_CPU_03N,C651.2 J1.A30
PCIE_BF_CPU_03N_C,C651.1 U1.L7
PCIE_BF_CPU_03P,C652.2 J1.A29
PCIE_BF_CPU_03P_C,C652.1 U1.L6
PCIE_BF_CPU_04N,C649.2 J1.A36
PCIE_BF_CPU_04N_C,C649.1 U1.N7
PCIE_BF_CPU_04P,C650.2 J1.A35
PCIE_BF_CPU_04P_C,C650.1 U1.N6
PCIE_BF_CPU_05N,C647.2 J1.A40
PCIE_BF_CPU_05N_C,C647.1 U1.R7
PCIE_BF_CPU_05P,C648.2 J1.A39
PCIE_BF_CPU_05P_C,C648.1 U1.R6
PCIE_BF_CPU_06N,C645.2 J1.A44
PCIE_BF_CPU_06N_C,C645.1 U1.U7
PCIE_BF_CPU_06P,C646.2 J1.A43
PCIE_BF_CPU_06P_C,C646.1 U1.U6
PCIE_BF_CPU_07N,C643.2 J1.A48
PCIE_BF_CPU_07N_C,C643.1 U1.W7
PCIE_BF_CPU_07P,C644.2 J1.A47
PCIE_BF_CPU_07P_C,C644.1 U1.W6
PCIE_BF_CPU_08N,C641.2 J1.A53
PCIE_BF_CPU_08N_C,C641.1 U1.AA7
PCIE_BF_CPU_08P,C642.2 J1.A52
PCIE_BF_CPU_08P_C,C642.1 U1.AA6
PCIE_BF_CPU_09N,C639.2 J1.A57
PCIE_BF_CPU_09N_C,C639.1 U1.AC7
PCIE_BF_CPU_09P,C640.2 J1.A56
PCIE_BF_CPU_09P_C,C640.1 U1.AC6
PCIE_BF_CPU_10N,C637.2 J1.A61
PCIE_BF_CPU_10N_C,C637.1 U1.AE7
PCIE_BF_CPU_10P,C638.2 J1.A60
PCIE_BF_CPU_10P_C,C638.1 U1.AE6
PCIE_BF_CPU_11N,C635.2 J1.A65
PCIE_BF_CPU_11N_C,C635.1 U1.AG7
PCIE_BF_CPU_11P,C636.2 J1.A64
PCIE_BF_CPU_11P_C,C636.1 U1.AG6
PCIE_BF_CPU_12N,C633.2 J1.A69
PCIE_BF_CPU_12N_C,C633.1 U1.AJ7
PCIE_BF_CPU_12P,C634.2 J1.A68
PCIE_BF_CPU_12P_C,C634.1 U1.AJ6
PCIE_BF_CPU_13N,C631.2 J1.A73
PCIE_BF_CPU_13N_C,C631.1 U1.AL7
PCIE_BF_CPU_13P,C632.2 J1.A72
PCIE_BF_CPU_13P_C,C632.1 U1.AL6
PCIE_BF_CPU_14N,C629.2 J1.A77
PCIE_BF_CPU_14N_C,C629.1 U1.AN7
PCIE_BF_CPU_14P,C630.2 J1.A76
PCIE_BF_CPU_14P_C,C630.1 U1.AN6
PCIE_BF_CPU_15N,C627.2 J1.A81
PCIE_BF_CPU_15N_C,C627.1 U1.AR7
PCIE_BF_CPU_15P,C628.2 J1.A80
PCIE_BF_CPU_15P_C,C628.1 U1.AR6
PCIE_CPU_BF_00N,J1.B15 U1.E3
PCIE_CPU_BF_00P,J1.B14 U1.E2
PCIE_CPU_BF_01N,J1.B20 U1.G3
PCIE_CPU_BF_01P,J1.B19 U1.G2
PCIE_CPU_BF_02N,J1.B24 U1.J3
PCIE_CPU_BF_02P,J1.B23 U1.J2
PCIE_CPU_BF_03N,J1.B28 U1.L3
PCIE_CPU_BF_03P,J1.B27 U1.L2
PCIE_CPU_BF_04N,J1.B34 U1.N3
PCIE_CPU_BF_04P,J1.B33 U1.N2
PCIE_CPU_BF_05N,J1.B38 U1.R3
PCIE_CPU_BF_05P,J1.B37 U1.R2
PCIE_CPU_BF_06N,J1.B42 U1.U3
PCIE_CPU_BF_06P,J1.B41 U1.U2
PCIE_CPU_BF_07N,J1.B46 U1.W3
PCIE_CPU_BF_07P,J1.B45 U1.W2
PCIE_CPU_BF_08N,J1.B51 U1.AA3
PCIE_CPU_BF_08P,J1.B50 U1.AA2
PCIE_CPU_BF_09N,J1.B55 U1.AC3
PCIE_CPU_BF_09P,J1.B54 U1.AC2
PCIE_CPU_BF_10N,J1.B59 U1.AE3
PCIE_CPU_BF_10P,J1.B58 U1.AE2
PCIE_CPU_BF_11N,J1.B63 U1.AG3
PCIE_CPU_BF_11P,J1.B62 U1.AG2
PCIE_CPU_BF_12N,J1.B67 U1.AJ3
PCIE_CPU_BF_12P,J1.B66 U1.AJ2
PCIE_CPU_BF_13N,J1.B71 U1.AL3
PCIE_CPU_BF_13P,J1.B70 U1.AL2
PCIE_CPU_BF_14N,J1.B75 U1.AN3
PCIE_CPU_BF_14P,J1.B74 U1.AN2
PCIE_CPU_BF_15N,J1.B79 U1.AR3
PCIE_CPU_BF_15P,J1.B78 U1.AR2
PCIE_PERCLK0N,C622.1 C623.1 U1.A4
PCIE_PERCLK0P,C624.1 C625.1 U1.A5
PCIE_REFCLK0_N,C623.2 J1.A14 R137.1
PCIE_REFCLK0_P,C625.2 J1.A13 R138.1
SE_CCLK,R29.1 TP11831.1 U1.F35
SE_CLK_GEN_GMII_XI,C54.1 R40.1 U7.1 U15.61
SE_CLK_GEN_GMII_XO,R21.2 R40.2 U15.60
SE_CLK_GEN_GMII_XO_R,C27.1 R21.1 U7.3
SE_CLK_GEN_HUB_XI,C158.1 R115.2 U25.3 U30.22
SE_CLK_GEN_HUB_XO,R115.1 R116.2 U30.21
SE_CLK_GEN_HUB_XO_R,C146.1 R116.1 U25.1
SE_CLK_GEN_XI,C149.2 R105.2 U26.1 U31.2
SE_CLK_GEN_XO,R104.2 R105.1 U31.3
SE_CLK_GEN_XO_R,C148.1 R104.1 U26.3
SE_EMMC0_CLK,R38.2 U33.M6 U33.N7 U33.P8
SE_EMMC0_CLK_R,R38.1 U1.R37
SE_EMMC0_CMD,R39.2 U1.T37 U33.M5
SE_EMMC0_D0,R2.2 U1.N38 U33.A3
SE_EMMC0_D1,R3.2 U1.P38 U33.A4
SE_EMMC0_D2,R4.2 U1.R38 U33.A5
SE_EMMC0_D3,R1.2 U1.M38 U33.A1 U33.B2
SE_EMMC0_D4,R6.2 U1.N37 U33.A2 U33.B3
SE_EMMC0_D5,R5.2 U1.M37 U33.B4 U33.C3 U33.D1 U33.D2
SE_EMMC0_D6,R7.2 U1.P37 U33.B5 U33.C5 U33.F1 U33.F2 U33.F3
SE_EMMC0_D7,R11.2 U1.T38 U33.A8 U33.B6 U33.B7
SE_EMMC0_RST_L,R8.2 R9.1 U1.U38 U33.K1 U33.K2 U33.K3 U33.K5
SE_FLAT_UART_RX,J48.30 R147.2 TP11722.1
SE_FLAT_UART_TX,J48.28 R148.2 TP11721.1
SE_GMII_GCLK,R186.2 U15.32
SE_GMII_GCLK_R,R186.1 U1.V34
SE_GMII_RX_CLK,R231.2 U1.P34
SE_GMII_RX_CLK_R,R42.1 R228.2 R231.1 U15.48
SE_GMII_RX_D0,R248.2 U1.R34
SE_GMII_RX_D0_R,R47.1 R246.2 R248.1 U15.44
SE_GMII_RX_D1,R249.2 U1.P35
SE_GMII_RX_D1_R,R48.1 R247.2 R249.1 U15.43
SE_GMII_RX_D2,R250.2 U1.R35
SE_GMII_RX_D2_R,R46.1 R250.1 R262.2 U15.41
SE_GMII_RX_D3,R264.2 U1.N34
SE_GMII_RX_D3_R,R56.1 R263.2 R264.1 U15.39
SE_GMII_RX_D4,R57.2 U1.R36
SE_GMII_RX_D4_R,R57.1 U15.38
SE_GMII_RX_D5,R58.2 U1.P36
SE_GMII_RX_D5_R,R58.1 U15.37
SE_GMII_RX_D6,R64.2 U1.U37
SE_GMII_RX_D6_R,R64.1 U15.35
SE_GMII_RX_D7,R65.2 U1.N36
SE_GMII_RX_D7_R,R65.1 U15.34
SE_GMII_RX_DV,R229.2 U1.R33
SE_GMII_RX_DV_R,R43.1 R229.1 R245.2 U15.45
SE_GMII_RX_ER,R230.2 U1.N33
SE_GMII_RX_ER_R,R230.1 U15.47
SE_GMII_TX_D0,R163.2 U15.21
SE_GMII_TX_D0_R,R163.1 U1.U34
SE_GMII_TX_D1,R33.2 U15.22
SE_GMII_TX_D1_R,R33.1 U1.U35
SE_GMII_TX_D2,R32.2 U15.23
SE_GMII_TX_D2_R,R32.1 U1.T35
SE_GMII_TX_D3,R37.2 U15.24
SE_GMII_TX_D3_R,R37.1 U1.V36
SE_GMII_TX_D4,R35.2 U15.26
SE_GMII_TX_D4_R,R35.1 U1.U36
SE_GMII_TX_D5,R34.2 U15.27
SE_GMII_TX_D5_R,R34.1 U1.T36
SE_GMII_TX_D6,R36.2 U15.28
SE_GMII_TX_D6_R,R36.1 U1.V37
SE_GMII_TX_D7,R31.2 U15.29
SE_GMII_TX_D7_R,R31.1 U1.T34
SE_GMII_TX_EN,R162.2 U15.33
SE_GMII_TX_EN_R,R162.1 U1.V35
SE_GMII_TX_ER,R30.2 U15.31
SE_GMII_TX_ER_R,R30.1 U1.T33
SE_NCSI_ARB_IN,R187.2 TP12256.1 U1.E37 U6.1
SE_NCSI_ARB_IN_CONN,J48.3 R187.1 TP12266.1 U6.4
SE_NCSI_ARB_OUT,R164.2 R176.1 TP11682.1 U32.1
SE_NCSI_ARB_OUT_CONN,J48.5 R164.1 TP11693.1 U6.3 U32.4
SE_NCSI_ARB_OUT_R,R176.2 TP11832.1 U1.G38
SE_NCSI_CLK,R193.2 TP12265.1 U1.C37 U5.1
SE_NCSI_CLK_CONN,J48.1 R193.1 TP12264.1 U5.4
SE_NCSI_CRS_DV,J48.11 R60.1 TP12259.1
SE_NCSI_CRS_DV_R,R60.2 TP12267.1 U1.E38
SE_NCSI_RX_D0,J48.7 R62.1 TP12261.1
SE_NCSI_RX_D0_R,R62.2 TP12269.1 U1.F37
SE_NCSI_RX_D1,J48.9 R61.1 TP12260.1
SE_NCSI_RX_D1_R,R61.2 TP12268.1 U1.D37
SE_NCSI_TX_D0,R188.2 TP11686.1 U1.G37 U3.1
SE_NCSI_TX_D0_CONN,J48.13 R188.1 TP11694.1 U3.4
SE_NCSI_TX_D1,R165.2 TP12255.1 U1.D38 U2.1
SE_NCSI_TX_D1_CONN,J48.15 R165.1 TP11695.1 U2.4
SE_NCSI_TX_EN,R166.2 TP12254.1 U1.F38 U18.1
SE_NCSI_TX_EN_CONN,J48.17 R166.1 TP11690.1 U18.4
SE_SER_CAPTURE,R407.1 TP11510.1 U1.G33
SE_SER_CAPTURE_CONN,C620.2 J1.A33 R407.2 TP11508.1
SE_SER_CLK,R385.1 R386.2 R396.1 R408.1 TP12281.1 U1.K33
SE_SER_CLK_CONN,C621.2 J1.A32 R408.2 TP11506.1
SE_SER_DI,R335.1 R366.2 R367.1 R403.2 TP12251.1 U1.F33
SE_SER_DI_CONN,C659.1 J1.B12 R403.1 TP12368.1
SE_SER_DO,R134.1 R144.1 R333.2 R334.1 TP12153.1 U1.E30
SE_SER_DO_CONN,C172.2 J1.A19 R144.2 TP11611.1
SE_SPI_CLK,TP11699.1 U1.C35 U4.B2
SE_SPI_CS0_L,R13.2 TP11696.1 U1.B36 U4.C2
SE_SPI_IO0,TP11700.1 U1.D35 U4.D3
SE_SPI_IO1,TP11698.1 U1.C36 U4.D2
SE_SPI_IO2,TP11294.1 U1.D36 U4.C4
SE_SPI_IO3,TP11293.1 U1.B35 U4.D4
SE_UART0_BUFF_RXD,R147.1 TP12090.1 U8.5 U21.5
SE_UART0_BUFF_TXD,R148.1 TP12318.1 U8.6 U21.4
SE_UART0_RXD,TP12166.1 U1.C33 U8.3
SE_UART0_TXD,R18.1 R19.2 TP12164.1 U1.M34 U8.2
SE_USBPHY_CLK,R130.1 TP12083.1 U1.L37
SE_USBPHY_CLK_R,R130.2 TP11930.1 U29.27
SE_USBPHY_D0,TP11917.1 U1.H38 U29.2
SE_USBPHY_D1,TP11918.1 U1.K38 U29.1
SE_USBPHY_D2,TP11920.1 U1.J37 U29.32
SE_USBPHY_D3,TP12244.1 U1.L36 U29.30
SE_USBPHY_D4,TP11927.1 U1.K36 U29.26
SE_USBPHY_D5,TP11926.1 U1.J36 U29.25
SE_USBPHY_D6,TP11925.1 U1.H36 U29.24
SE_USBPHY_D7,TP11924.1 U1.H37 U29.23
SE_USBPHY_DIR,R123.1 TP12174.1 U1.J38
SE_USBPHY_DIR_R,R123.2 TP11910.1 U29.18
SE_USBPHY_NXT,R132.1 TP11915.1 U1.K37
SE_USBPHY_NXT_R,R132.2 TP11914.1 U29.22
SE_USBPHY_STP,TP11932.1 U1.L38 U29.21
SE_USB_OSC,R111.2 TP12081.1 U29.15
SE_USB_OSC_R,R111.1 TP12082.1 U27.3
S_0.6V_VTT_EN,C332.1 R74.2 R277.2 TP11375.1 U38.7
S_1.2V_DDR_EN,C101.1 R280.2 R281.2 R282.2 TP11364.1 U19.8
S_1.2V_DDR_FB,R82.2 R83.2 R289.1 TP12362.1 U19.7
S_1.2V_DDR_FB_R,C106.1 R83.1 R279.2 SH7.1 TP12353.1
S_1.2V_DDR_FB_RC,C106.2 R82.1 TP11523.1
S_1.2V_DDR_ILIM,R85.1 TP12111.1 U19.3
S_1.2V_DDR_MODE,R306.1 TP12324.1 U19.4
S_1.2V_DDR_SS,C111.1 C112.2 TP12383.1 U19.5
S_1.2V_SW_EN,R87.2 R90.1 TP12120.1 U44.2
S_1.8V_FB,R49.2 R243.2 R244.1 TP12053.1 U16.7
S_1.8V_FB_R,C71.1 R49.1 R226.2 SH3.2 TP12354.1
S_1.8V_FB_RC,C71.2 R243.1 TP11528.1
S_1.8V_ILIM,R59.1 TP11531.1 U16.3
S_1.8V_MODE,R261.2 TP11601.1 U16.4
S_1.8V_SS,C79.1 C80.1 TP11529.1 U16.5
S_2.5V_EN,C274.1 R253.2 R267.2 TP11629.1 U39.1
S_2.5V_FB,R278.1 R288.2 TP11379.1 U39.6
S_2.5V_SS,C275.1 TP11752.1 U39.8
S_3.3V_EN,R88.1 R300.2 TP12230.1 U43.1
S_3.3V_FB,R314.2 R319.1 TP12106.1 U43.6
S_3.3V_FB_P0,R290.1 R291.2 TP12135.1 U41.6
S_3.3V_SS,C523.1 TP12108.1 U43.8
S_3.3V_SS_P0,C474.1 TP12132.1 U41.8
S_5V_EN,C579.1 R96.2 R327.2 TP11382.1 U22.1
S_5V_FB,R347.1 R348.2 TP11384.1 U22.6
S_5V_SS,C144.1 TP12231.1 U22.8
S_ADDR_CLK_REF,R387.2 TP12212.1 U31.6
S_ARM_NSRST_R_L,R194.1 R241.2 TP12213.1 U1.F32
S_ARM_OOB_RST,R195.1 TP12214.1 U1.G31
S_BOOTR_VCORE_P1,R81.1 U17.32
S_BOOTR_VCORE_P2,R92.1 U20.32
S_BOOT_VCORE_P1,C104.2 TP12332.1 U17.33
S_BOOT_VCORE_P2,C130.2 TP12348.1 U20.33
S_BOOT_VCORE_RC_P1,C104.1 R81.2 TP12331.1
S_BOOT_VCORE_RC_P2,C130.1 R92.2 TP12349.1
S_CCLK_LVDS_N,C141.1 U24.5
S_CCLK_LVDS_OE,R106.2 TP12196.1 U24.1
S_CCLK_LVDS_P,C133.1 U24.4
S_CCLK_N,C141.2 U1.AL16
S_CCLK_P,C133.2 U1.AL17
S_CCLK_SELECT,R222.1 R242.2 TP11740.1 U1.M36
S_CLK_GEN_DIFF0_N,C622.2 U31.14
S_CLK_GEN_DIFF0_P,C624.2 U31.13
S_CLK_GEN_DIFF1_N,R137.2 U31.18
S_CLK_GEN_DIFF1_P,R138.2 U31.19
S_CX_RST_L_R,R390.1 TP11630.1 U48.4
S_FAN_PWM,J36.4 Q2.3 R381.2 R384.2 R393.1 TP12215.1
S_FAN_TACH,C594.1 J36.3 R382.1 TP12216.1
S_GEN_PD,R398.1 TP12073.1 U31.31
S_GMII_RST,C205.1 R14.2 R22.2 R195.2 R196.2 TP11602.1 U15.56
S_HUB_RST_L,C608.1 R324.2 R388.2 TP12394.1 U30.15
S_INT_P0_L,J4.28 R337.2 TP11976.1 U1.H33
S_LDO_GATE,Q3.3 R287.2 TP11595.1 U15.58
S_LPMODE_P0,R336.2 TP12217.1 U1.L33
S_LPMODE_P0_R,J4.31 R336.1 TP12130.1
S_LSET_VCORE_P1,R269.2 TP12357.1 U17.37
S_LSET_VCORE_P2,R315.2 TP12315.1 U20.37
S_MODPRS_P0_L,J4.27 TP12278.1 U1.E32
S_NC_CCLK,R99.2 TP12084.1 U24.2
S_NC_RCLK,R45.2 TP11950.1 U14.2
S_NSRST_ARM_CONN_L,J48.22 R149.2 TP12146.1
S_NSRST_ARM_L,R149.1 R194.2 R196.1 TP12145.1 U1.D30
S_OE_DIFF0_L,R117.2 TP12219.1 U31.12
S_OE_DIFF1_L,R136.2 TP12220.1 U31.17
S_OE_DIFF2_L,R139.2 TP12221.1 U31.24
S_OE_DIFF3_L,R125.2 TP12074.1 U31.29
S_PACK_ID0_CONN,J48.4 R335.2 TP12280.1
S_PACK_ID1_CONN,J48.6 R385.2 TP12360.1
S_PACK_ID2_CONN,J48.24 R334.2 TP12284.1
S_PERST_CONN_L,J1.A11 R406.2 TP12338.1
S_PERST_L,R399.1 R406.1 TP12350.1 U1.F29
S_PGOOD_0.6V_VREF,R392.1 TP12224.1 U38.9
S_PGOOD_1.2V_DDR,R74.1 R75.2 R90.2 TP12387.1 U19.9
S_PGOOD_1.8V,R280.1 TP12386.1 U16.9
S_PGOOD_2.5V,R282.1 TP11820.1 U39.7
S_PGOOD_3.3V,R96.1 TP12107.1 U43.7
S_PGOOD_5V,R98.1 TP12225.1 U22.7
S_PGOOD_ADLY,C602.1 R380.2 R391.2 R392.2 TP11461.1 U48.1
S_PGOOD_SW_1.2V,R391.1 TP12222.1 U44.6
S_PGOOD_VCORE,R50.1 R267.1 R379.1 TP12247.1 U23.12
S_PGOOD_VCORE_BU,R378.2 R379.2 TP11462.1 U48.2
S_PHY_INT_L,R25.2 R233.2 TP12031.1 U15.53
S_PHY_INT_R_L,R25.1 TP12029.1 U1.U31
S_PORT0_PGOOD,R302.2 TP12288.1 U1.V31 U41.7
S_PRSNT_L,C167.1 J1.A1 J1.B81 TP12018.1
S_PWR_EN_PORT0,R303.1 TP12129.1 U1.G30 U41.1
S_RBIAS_USB,R114.1 TP12101.1 U30.24
S_RCLK_LVDS_N,C61.1 U14.5
S_RCLK_LVDS_OE,R202.2 TP11669.1 U14.1
S_RCLK_LVDS_P,C72.1 U14.4
S_RCLK_N,C61.2 U1.A31
S_RCLK_P,C72.2 U1.A30
S_REF_ISET,R234.1 TP12320.1 U15.63
S_REG_1.8V_EN,C60.1 R50.2 R223.2 TP12325.1 U16.8
S_REG_VCORE_EN,C576.1 R95.2 R98.2 TP12367.1 U23.13
S_RESET_P0_L,R328.2 TP11982.1 U1.K31
S_RESET_P0_R_L,J4.9 R328.1 R338.2 TP11975.1
S_RJ45_TRCT1,C206.1 J5.12 TP12027.1
S_RJ45_TRCT2,C207.1 J5.6 TP12028.1
S_RJ45_TRCT3,C477.1 J5.1 TP12026.1
S_RJ45_TRCT4,C476.1 J5.7 TP12025.1
S_RST_CONN,J48.19 R227.2 TP12351.1
S_RSVD_30P_CONN,J48.26 R209.1 R210.2 TP12148.1
S_SOC_HARD_RST_L,R22.1 R227.1 R377.1 R390.2 TP11631.1 U1.T31 U2.6 U3.6 U5.6 U6.6 U18.6 U28.5 U32.6
S_SOFT_RST,R150.1 R168.2 TP12144.1 U1.R30
S_SOFT_RST_CONN,J48.20 R150.2 TP12143.1
S_SS_SEL,R118.2 R364.1 TP12072.1 U31.32
S_STRAP_CFG_SEL,R133.1 R400.2 TP12096.1 U30.14
S_STRAP_CONFIG_ROM1,R271.2 R283.1 TP12336.1 U1.U33
S_STRAP_NON_REM0,R124.2 R354.1 TP12098.1 U30.17
S_STRAP_NON_REM1,R140.1 R332.2 TP12395.1 U30.13
S_STRAP_OSC_FREQ0,R206.1 R208.2 TP12393.1 U1.C32
S_STRAP_OSC_FREQ1,R203.1 R224.2 TP12161.1 U1.A35
S_STRAP_PCI_PART0,R292.2 R293.1 TP11996.1 U1.F30
S_STRAP_PCI_PART1,R67.2 R272.1 TP12228.1 U1.D29
S_STRAP_PCORE0_REVERSAL,R28.1 R44.2 TP12258.1 U1.N31
S_STRAP_SD_MH,R204.2 R225.1 TP12160.1 U1.H31
S_TAO_VCORE,C570.1 R93.1 TP12301.1 U17.36 U20.36 U23.35
S_UART_HUB_RST_L,R318.1 R324.1 TP12339.1 U1.U32
S_UART_RST_L,C126.1 R91.2 R318.2 TP12103.1 U21.3
S_USBPHY_RESET_L,R373.2 TP11913.1 U29.19
S_USB_OSC_EN,R122.2 TP12080.1 U27.1
S_VCC_VCORE_P1,C90.1 R63.2 R270.1 TP12290.1 U17.3
S_VCC_VCORE_P2,C121.1 R86.2 R316.1 TP12292.1 U20.3
S_VCORE_ACSP1_N,C91.1 SH12.2 TP12356.1 U17.39
S_VCORE_ACSP1_P,TP12317.1 U17.38 U23.23
S_VCORE_ACSP2_N,C122.1 SH14.2 TP12359.1 U20.39
S_VCORE_ACSP2_P,TP12305.1 U20.38 U23.24
S_VCORE_P1_EN,R270.2 TP12291.1 U17.35
S_VCORE_P2_EN,R316.2 TP12293.1 U20.35
S_VCORE_SENSE_N,R257.2 TP12233.1 U1.U30
S_VCORE_SENSE_P,R256.1 TP12234.1 U1.V30
S_VDDQPS0,R309.1 R311.2 TP11655.1 U1.J11
S_VDDQPS1,R310.1 R312.2 TP11656.1 U1.J10
S_VINSEN_VCORE,C577.1 R97.2 R374.2 R375.1 TP12302.1 U23.38
S_VINSEN_VCORE_R,R97.1 TP12329.1 U23.37
S_VREF_CONT,C145.1 C586.1 R326.2 SH12.1 SH14.1 TP12307.1 U23.40
S_WAKE_CONN_L,J1.B11 R410.1 TP11539.1
S_WAKE_L,R410.2 TP12229.1 U1.K35
USB_BF_N,R370.2 U29.4 U30.2
USB_BF_P,R371.2 U29.6 U30.3
USB_BYP_DM_N,R355.1 R370.1
USB_BYP_DM_P,R356.1 R371.1
USB_CHOKE_DM_N,L6.2 R320.2 R321.2
USB_CHOKE_DM_P,L6.3 R322.2 R323.2
USB_CON1_DM_N,J46.2 R320.1
USB_CON1_DM_P,J46.3 R322.1
USB_CON2_DM_N,J55.2 R321.1
USB_CON2_DM_P,J55.3 R323.1
USB_CON_T_DM_N,L6.1 R355.2 U30.19
USB_CON_T_DM_P,L6.4 R356.2 U30.20
USB_UART_CONV_DM_N,U21.11 U30.4
USB_UART_CONV_DM_P,U21.12 U30.5
VCC_1.2V,C110.1 TP11343.1 U19.19
VCC_1.8V,C85.1 TP11533.1 U16.19
