column_one,column_two
SE_GMII_TX_D2,R32.2
USB_CON1_DM_N,R320.1
USB_CHOKE_DM_N,R320.2
USB_CON2_DM_N,R321.1
USB_CHOKE_DM_N,R321.2
USB_CON1_DM_P,R322.1
USB_CHOKE_DM_P,R322.2
USB_CON2_DM_P,R323.1
USB_CHOKE_DM_P,R323.2
S_UART_HUB_RST_L,R324.1
S_HUB_RST_L,R324.2
ADDR_PMBUS_SVID_CONT,R325.1
GND,R325.2
ADDR_PMBUS_SVID_CONT,R326.1
S_VREF_CONT,R326.2
3.3V,R327.1
S_5V_EN,R327.2
S_RESET_P0_R_L,R328.1
S_RESET_P0_L,R328.2
3.3V,R329.1
I2C_ARM_SDA0,R329.2
SE_GMII_TX_D1_R,R33.1
SE_GMII_TX_D1,R33.2
I2C_SDA_TEMP,R330.1
AD_TEMP_SENS_GW4,R330.2
3.3V,R331.1
3.3V_VDD_RTC,R331.2
3.3V,R332.1
S_STRAP_NON_REM1,R332.2
3.3V,R333.1
SE_SER_DO,R333.2
SE_SER_DO,R334.1
S_PACK_ID2_CONN,R334.2
SE_SER_DI,R335.1
S_PACK_ID0_CONN,R335.2
S_LPMODE_P0_R,R336.1
S_LPMODE_P0,R336.2
3.3V_QSFP0,R337.1
S_INT_P0_L,R337.2
3.3V_QSFP0,R338.1
S_RESET_P0_R_L,R338.2
AD_TEMP_SENS_GW4,R339.1
GND,R339.2
SE_GMII_TX_D5_R,R34.1
SE_GMII_TX_D5,R34.2
3.3V,R340.1
I2C_SDA4,R340.2
3.3V,R341.1
AD_TEMP_SENS_GW4,R341.2
I2C_SCL_TEMP,R342.1
AD_TEMP_SENS_GW4,R342.2
I2C_ARM_SCL1_STAB,R343.1
I2C_SCL_TEMP,R343.2
3.3V_VDD_RTC,R344.1
3.3V_SH,R344.2
I2C_ARM_SDA1_STAB,R345.1
I2C_VRD_SDA,R345.2
3.3V,R346.1
3.3V_VIN_CONT,R346.2
S_5V_FB,R347.1
GND,R347.2
5V,R348.1
S_5V_FB,R348.2
N_FRY_A2,R349.1
GND,R349.2
SE_GMII_TX_D4_R,R35.1
SE_GMII_TX_D4,R35.2
3.3V_SH,R350.1
N_FRY_A2,R350.2
3.3V_QSFP0,R351.1
I2C_SCL1,R351.2
I2C_SDA4,R352.1
I2C_SDA_TEMP,R352.2
I2C_ARM_SDA1_STAB,R353.1
I2C_SDA_TEMP,R353.2
S_STRAP_NON_REM0,R354.1
GND,R354.2
USB_BYP_DM_N,R355.1
USB_CON_T_DM_N,R355.2
USB_BYP_DM_P,R356.1
USB_CON_T_DM_P,R356.2
3.3V_PWR_USBPHY,R357.1
L_USBPHY_ID,R357.2
L_USBPHY_FAULT,R358.1
3.3V,R358.2
L_USBPHY_FAULT,R359.1
GND,R359.2
SE_GMII_TX_D6_R,R36.1
SE_GMII_TX_D6,R36.2
N_FRU_A0,R360.1
GND,R360.2
N_FRU_A1,R361.1
GND,R361.2
3.3V_SH,R362.1
N_FRU_A1,R362.2
3.3V_SH,R363.1
N_FRU_A0,R363.2
S_SS_SEL,R364.1
GND,R364.2
3.3V,R365.1
3.3V_GEN_R_CLK,R365.2
3.3V,R366.1
SE_SER_DI,R366.2
SE_SER_DI,R367.1
GND,R367.2
3.3V_QSFP0,R368.1
I2C_SDA1,R368.2
3.3V,R369.1
L_HUB_VBUS_DECT,R369.2
SE_GMII_TX_D3_R,R37.1
SE_GMII_TX_D3,R37.2
USB_BYP_DM_N,R370.1
USB_BF_N,R370.2
USB_BYP_DM_P,R371.1
USB_BF_P,R371.2
L_USBPHY_RREF,R372.1
GND,R372.2
3.3V,R373.1
S_USBPHY_RESET_L,R373.2
12V,R374.1
S_VINSEN_VCORE,R374.2
S_VINSEN_VCORE,R375.1
GND,R375.2
3.3V,R376.1
I2C_SDA2,R376.2
S_SOC_HARD_RST_L,R377.1
GND,R377.2
3.3V,R378.1
S_PGOOD_VCORE_BU,R378.2
S_PGOOD_VCORE,R379.1
S_PGOOD_VCORE_BU,R379.2
SE_EMMC0_CLK_R,R38.1
SE_EMMC0_CLK,R38.2
3.3V,R380.1
S_PGOOD_ADLY,R380.2
12V,R381.1
S_FAN_PWM,R381.2
S_FAN_TACH,R382.1
AG_TACH,R382.2
3.3V,R383.1
AG_TACH,R383.2
3.3V,R384.1
S_FAN_PWM,R384.2
SE_SER_CLK,R385.1
S_PACK_ID1_CONN,R385.2
3.3V,R386.1
SE_SER_CLK,R386.2
3.3V,R387.1
S_ADDR_CLK_REF,R387.2
3.3V,R388.1
S_HUB_RST_L,R388.2
GND,R389.1
L_USBPHY_CS_L,R389.2
3.3V,R39.1
SE_EMMC0_CMD,R39.2
S_CX_RST_L_R,R390.1
S_SOC_HARD_RST_L,R390.2
S_PGOOD_SW_1.2V,R391.1
S_PGOOD_ADLY,R391.2
S_PGOOD_0.6V_VREF,R392.1
S_PGOOD_ADLY,R392.2
S_FAN_PWM,R393.1
AG_PWM,R393.2
GND,R394.1
L_TERM_A33_C,R394.2
GND,R395.1
L_TERM_A32_C,R395.2
SE_SER_CLK,R396.1
GND,R396.2
L_TERM_B30_C,R397.1
GND,R397.2
S_GEN_PD,R398.1
GND,R398.2
S_PERST_L,R399.1
GND,R399.2
3.3V,R4.1
SE_EMMC0_D2,R4.2
SE_CLK_GEN_GMII_XI,R40.1
SE_CLK_GEN_GMII_XO,R40.2
3.3V,R400.1
S_STRAP_CFG_SEL,R400.2
L_USBPHY_CFG1,R401.1
GND,R401.2
3.3V_GEN_CLK,R402.1
3.3V_VDDA,R402.2
SE_SER_DI_CONN,R403.1
SE_SER_DI,R403.2
3.3V,R404.1
GND,R404.2
3.3V_AUX,R405.1
GND,R405.2
S_PERST_L,R406.1
S_PERST_CONN_L,R406.2
SE_SER_CAPTURE,R407.1
SE_SER_CAPTURE_CONN,R407.2
SE_SER_CLK,R408.1
SE_SER_CLK_CONN,R408.2
L_TERM_B12_C,R409.1
GND,R409.2
MDC2_ARM,R41.1
I2C_SCL_MDC_STAB,R41.2
S_WAKE_CONN_L,R410.1
S_WAKE_L,R410.2
I2C_SDA_MDIO_STAB,R411.1
I2C_SDA_IS,R411.2
I2C_SCL_MDC_STAB,R412.1
I2C_SCL_IS,R412.2
I2C_ARM_SCL1_STAB,R413.1
I2C_ARM_SCL1,R413.2
I2C_ARM_SDA1_STAB,R414.1
I2C_ARM_SDA1,R414.2
SE_GMII_RX_CLK_R,R42.1
GND,R42.2
SE_GMII_RX_DV_R,R43.1
GND,R43.2
3.3V,R44.1
S_STRAP_PCORE0_REVERSAL,R44.2
GND,R45.1
S_NC_RCLK,R45.2
SE_GMII_RX_D2_R,R46.1
GND,R46.2
SE_GMII_RX_D0_R,R47.1
GND,R47.2
SE_GMII_RX_D1_R,R48.1
GND,R48.2
S_1.8V_FB_R,R49.1
S_1.8V_FB,R49.2
3.3V,R5.1
SE_EMMC0_D5,R5.2
S_PGOOD_VCORE,R50.1
S_REG_1.8V_EN,R50.2
L_ZQ_7_L,R51.1
GND,R51.2
L_ZQ_5_L,R52.1
GND,R52.2
L_ZQ_ECC_L,R53.1
GND,R53.2
L_ZQ_3_L,R54.1
GND,R54.2
L_ZQ_1_L,R55.1
GND,R55.2
SE_GMII_RX_D3_R,R56.1
GND,R56.2
SE_GMII_RX_D4_R,R57.1
SE_GMII_RX_D4,R57.2
SE_GMII_RX_D5_R,R58.1
SE_GMII_RX_D5,R58.2
S_1.8V_ILIM,R59.1
GND_ANALOG_1.8V,R59.2
3.3V,R6.1
SE_EMMC0_D4,R6.2
SE_NCSI_CRS_DV,R60.1
SE_NCSI_CRS_DV_R,R60.2
SE_NCSI_RX_D1,R61.1
SE_NCSI_RX_D1_R,R61.2
SE_NCSI_RX_D0,R62.1
SE_NCSI_RX_D0_R,R62.2
5V,R63.1
S_VCC_VCORE_P1,R63.2
SE_GMII_RX_D6_R,R64.1
SE_GMII_RX_D6,R64.2
SE_GMII_RX_D7_R,R65.1
SE_GMII_RX_D7,R65.2
AG_1.8V_BST,R66.1
AG_1.8V_BST_R,R66.2
3.3V,R67.1
S_STRAP_PCI_PART1,R67.2
AG_VCORE_RC_SNB_P1,R68.1
GND,R68.2
1.2V_DDR,R69.1
L_TEN_D,R69.2
3.3V,R7.1
SE_EMMC0_D6,R7.2
L_PHY_RJ45_LED2,R70.1
GND,R70.2
3.3V,R71.1
L_PHY_RJ45_LED2,R71.2
3.3V,R72.1
L_PHY_RJ45_LED1,R72.2
L_PHY_RJ45_LED1,R73.1
GND,R73.2
S_PGOOD_1.2V_DDR,R74.1
S_0.6V_VTT_EN,R74.2
3.3V,R75.1
S_PGOOD_1.2V_DDR,R75.2
3.3V,R76.1
L_GREEN_LED1_P0,R76.2
L_GREEN_LED1_P0,R77.1
L_GREEN_LED1_R_P0,R77.2
L_YELLOW_LED1_P0,R78.1
L_YELLOW_LED1_R_P0,R78.2
3.3V,R79.1
L_UVPS_A0,R79.2
3.3V,R8.1
SE_EMMC0_RST_L,R8.2
3.3V,R80.1
L_UVPS_A1,R80.2
S_BOOTR_VCORE_P1,R81.1
S_BOOT_VCORE_RC_P1,R81.2
S_1.2V_DDR_FB_RC,R82.1
S_1.2V_DDR_FB,R82.2
S_1.2V_DDR_FB_R,R83.1
S_1.2V_DDR_FB,R83.2
3.3V,R84.1
L_UVPS_A2,R84.2
S_1.2V_DDR_ILIM,R85.1
AGND_1.2V_DDR,R85.2
5V,R86.1
S_VCC_VCORE_P2,R86.2
3.3V,R87.1
S_1.2V_SW_EN,R87.2
S_3.3V_EN,R88.1
GND,R88.2
AG_VCORE_RC_SNB_P2,R89.1
GND,R89.2
SE_EMMC0_RST_L,R9.1
GND,R9.2
S_1.2V_SW_EN,R90.1
S_PGOOD_1.2V_DDR,R90.2
3.3V,R91.1
S_UART_RST_L,R91.2
S_BOOTR_VCORE_P2,R92.1
S_BOOT_VCORE_RC_P2,R92.2
S_TAO_VCORE,R93.1
GND,R93.2
3.3V,R94.1
L_VR_FAULT_L,R94.2
3.3V_VIN_CONT,R95.1
S_REG_VCORE_EN,R95.2
S_PGOOD_3.3V,R96.1
S_5V_EN,R96.2
S_VINSEN_VCORE_R,R97.1
S_VINSEN_VCORE,R97.2
S_PGOOD_5V,R98.1
S_REG_VCORE_EN,R98.2
GND,R99.1
S_NC_CCLK,R99.2
VSSCPA,SH1.1
GND,SH1.2
GND,SH10.1
AGND_1.2V_DDR,SH10.2
GND,SH11.1
GND_ANALOG_3.3V,SH11.2
S_VREF_CONT,SH12.1
S_VCORE_ACSP1_N,SH12.2
VDD_SENSE_SH,SH13.1
VDD_SENSE,SH13.2
S_VREF_CONT,SH14.1
S_VCORE_ACSP2_N,SH14.2
AGND_5V,SH15.1
GND,SH15.2
GND_VSSPLLPL,SH16.1
GND,SH16.2
GND_VSSPLLPX,SH2.1
GND,SH2.2
1.8V,SH3.1
S_1.8V_FB_R,SH3.2
GND,SH4.1
GND_ANALOG_2.5V,SH4.2
VSSCPA1,SH5.1
GND,SH5.2
GND,SH6.1
GND_ANALOG_1.8V,SH6.2
S_1.2V_DDR_FB_R,SH7.1
1.2V_DDR,SH7.2
VSSCPA2,SH8.1
GND,SH8.2
GND,SH9.1
GND_ANALOG_3.3V_P0,SH9.2
DDR4_ALERT_N,TP11236.1
SE_SPI_IO3,TP11293.1
SE_SPI_IO2,TP11294.1
AG_1.8V_PH_R,TP11302.1
VCORE,TP11325.1
GND,TP11326.1
GND,TP11327.1
GND,TP11328.1
VCC_1.2V,TP11343.1
S_1.2V_DDR_EN,TP11364.1
AG_1.2V_DDR_PH_R,TP11365.1
AG_1.2V_DDR_BST_R,TP11366.1
AG_1.2V_DDR_PH,TP11367.1
VTT_REFIN,TP11373.1
0.6V_VTT,TP11374.1
S_0.6V_VTT_EN,TP11375.1
0.6V_VREFCA,TP11376.1
2.5V,TP11378.1
S_2.5V_FB,TP11379.1
S_5V_EN,TP11382.1
S_5V_FB,TP11384.1
N_FRU_A0,TP11410.1
N_FRU_A1,TP11411.1
N_FRY_A2,TP11412.1
I2C_SMDAT_H0,TP11414.1
I2C_ARM_SDA0,TP11425.1
3.3V_SH,TP11433.1
S_PGOOD_ADLY,TP11461.1
S_PGOOD_VCORE_BU,TP11462.1
1.8V_VDDPLLPL,TP11483.1
VDDCPA,TP11489.1
1.8V_VAA_DDR_PLL,TP11492.1
1.8V_VDD18,TP11493.1
VDDCPA1,TP11495.1
SE_SER_CLK_CONN,TP11506.1
L_TERM_A32_C,TP11507.1
SE_SER_CAPTURE_CONN,TP11508.1
SE_SER_CAPTURE,TP11510.1
L_TERM_A33_C,TP11511.1
L_TERM_B31_C,TP11512.1
L_TERM_B31,TP11513.1
AG_1.2V_DDR_BST,TP11521.1
S_1.2V_DDR_FB_RC,TP11523.1
S_1.8V_FB_RC,TP11528.1
S_1.8V_SS,TP11529.1
S_1.8V_ILIM,TP11531.1
AG_1.8V_BST,TP11532.1
VCC_1.8V,TP11533.1
JTAG_LOOP,TP11537.1
S_WAKE_CONN_L,TP11539.1
3.3V_AUX,TP11540.1
3.3V_AUX,TP11549.1
3.3V_AUX,TP11550.1
1.8V,TP11551.1
GND,TP11552.1
MDIO2_ARM,TP11592.1
NC_GMII_REF_CLK,TP11594.1
S_LDO_GATE,TP11595.1
S_1.8V_MODE,TP11601.1
S_GMII_RST,TP11602.1
AG_1.8V_BST_R,TP11605.1
L_TERM_B17,TP11609.1
SE_SER_DO_CONN,TP11611.1
S_2.5V_EN,TP11629.1
S_CX_RST_L_R,TP11630.1
S_SOC_HARD_RST_L,TP11631.1
L_GREEN_LED1_R_P0,TP11651.1
L_YELLOW_LED1_P0,TP11653.1
S_VDDQPS0,TP11655.1
S_VDDQPS1,TP11656.1
L_TERM_B12_C,TP11658.1
3.3V_RCLK_LVDS_OCS,TP11667.1
3.3V_RCLK_LVDS,TP11668.1
S_RCLK_LVDS_OE,TP11669.1
SE_NCSI_ARB_OUT,TP11682.1
SE_NCSI_TX_D0,TP11686.1
SE_NCSI_TX_EN_CONN,TP11690.1
SE_NCSI_ARB_OUT_CONN,TP11693.1
SE_NCSI_TX_D0_CONN,TP11694.1
SE_NCSI_TX_D1_CONN,TP11695.1
SE_SPI_CS0_L,TP11696.1
SE_SPI_IO1,TP11698.1
SE_SPI_CLK,TP11699.1
SE_SPI_IO0,TP11700.1
L_UVPS_A2,TP11702.1
L_UVPS_A1,TP11703.1
L_UVPS_A0,TP11704.1
SE_FLAT_UART_TX,TP11721.1
SE_FLAT_UART_RX,TP11722.1
L_TERM_B30,TP11733.1
S_CCLK_SELECT,TP11740.1
S_2.5V_SS,TP11752.1
L_TEN,TP11755.1
NC_VDDHSPX_SENSE,TP11773.1
NC_DDR_INTERNAL_VREF,TP11774.1
NC_VDDIPX_SENSE,TP11775.1
NC_DDR4_DTO0,TP11777.1
NC_VDDHS_SENSE,TP11778.1
L_TEN_D,TP11783.1
L_TERM_B30_C,TP11784.1
DDR4_ALERT_N_R,TP11792.1
GND,TP11793.1
GND,TP11794.1
GND,TP11798.1
1.2V_AVDDL_PLL,TP11803.1
1.2V_DDR,TP11804.1
1.2V_DVDDL,TP11805.1
3.3V_NCSI,TP11807.1
12V,TP11812.1
S_PGOOD_2.5V,TP11820.1
SE_CCLK,TP11831.1
SE_NCSI_ARB_OUT_R,TP11832.1
VDDIM_EMMC,TP11833.1
GND,TP11839.1
12V_PCIE_IN,TP11843.1
3.3V_AUX_F,TP11844.1
MDC2_ARM,TP11845.1
I2C_SDA0,TP11853.1
L_USBPHY_FAULT,TP11898.1
L_USBPHY_ID,TP11900.1
1.2V_PWR_USBPHY,TP11908.1
SE_USBPHY_DIR_R,TP11910.1
S_USBPHY_RESET_L,TP11913.1
SE_USBPHY_NXT_R,TP11914.1
SE_USBPHY_NXT,TP11915.1
SE_USBPHY_D0,TP11917.1
SE_USBPHY_D1,TP11918.1
SE_USBPHY_D2,TP11920.1
SE_USBPHY_D7,TP11924.1
SE_USBPHY_D6,TP11925.1
SE_USBPHY_D5,TP11926.1
SE_USBPHY_D4,TP11927.1
L_USBPHY_CFG1,TP11928.1
SE_USBPHY_CLK_R,TP11930.1
SE_USBPHY_STP,TP11932.1
S_NC_RCLK,TP11950.1
S_RESET_P0_R_L,TP11975.1
S_INT_P0_L,TP11976.1
I2C_SCL1,TP11977.1
I2C_SDA1,TP11978.1
S_RESET_P0_L,TP11982.1
L_TERM_B48,TP11991.1
L_TERM_B48_C,TP11992.1
S_STRAP_PCI_PART0,TP11996.1
L_FUNCMODE,TP11997.1
I2C_FLAT_SDA,TP11999.1
I2C_FLAT_SCL,TP12000.1
L_TERM_A50,TP12006.1
L_TERM_A50_C,TP12007.1
L_TERM_B82,TP12017.1
S_PRSNT_L,TP12018.1
L_TERM_B81_C,TP12019.1
L_TERM_B82_C,TP12020.1
S_RJ45_TRCT4,TP12025.1
S_RJ45_TRCT3,TP12026.1
S_RJ45_TRCT1,TP12027.1
S_RJ45_TRCT2,TP12028.1
S_PHY_INT_R_L,TP12029.1
S_PHY_INT_L,TP12031.1
L_USBPHY_RREF,TP12037.1
AG_PWM,TP12042.1
12V,TP12047.1
12V,TP12048.1
S_1.8V_FB,TP12053.1
3.3V_VCC1_P0,TP12055.1
3.3V_VCC_TX_P0,TP12056.1
3.3V_VCC_RX_P0,TP12057.1
3.3V_QSFP0,TP12058.1
AD_TEMP_SENS_GW4,TP12063.1
I2C_SDA_TEMP,TP12064.1
I2C_SCL_TEMP,TP12065.1
S_SS_SEL,TP12072.1
S_GEN_PD,TP12073.1
S_OE_DIFF3_L,TP12074.1
3.3V_VDDA,TP12075.1
3.3V_GEN_CLK,TP12076.1
3.3V_GEN_R_CLK,TP12077.1
L_USBPHY_CS_L,TP12079.1
S_USB_OSC_EN,TP12080.1
SE_USB_OSC,TP12081.1
SE_USB_OSC_R,TP12082.1
SE_USBPHY_CLK,TP12083.1
S_NC_CCLK,TP12084.1
3.3V_RTC_VOUT,TP12087.1
3V_RTC_VBAT,TP12088.1
SE_UART0_BUFF_RXD,TP12090.1
I2C_ARM_SDA1_STAB,TP12091.1
L_HUB_VBUS_DECT,TP12095.1
S_STRAP_CFG_SEL,TP12096.1
S_STRAP_NON_REM0,TP12098.1
VDD_USB_PLLFILT,TP12099.1
S_RBIAS_USB,TP12101.1
S_UART_RST_L,TP12103.1
S_3.3V_FB,TP12106.1
S_PGOOD_3.3V,TP12107.1
S_3.3V_SS,TP12108.1
S_1.2V_DDR_ILIM,TP12111.1
3.3V_VDD_RTC,TP12113.1
S_1.2V_SW_EN,TP12120.1
L_TERM_B17_C,TP12122.1
L_TERM_A19_C,TP12123.1
I2C_ARM_SCL0,TP12127.1
S_PWR_EN_PORT0,TP12129.1
S_LPMODE_P0_R,TP12130.1
S_3.3V_SS_P0,TP12132.1
S_3.3V_FB_P0,TP12135.1
VDDCPA2,TP12137.1
S_SOFT_RST_CONN,TP12143.1
S_SOFT_RST,TP12144.1
S_NSRST_ARM_L,TP12145.1
S_NSRST_ARM_CONN_L,TP12146.1
S_RSVD_30P_CONN,TP12148.1
L_GREEN_LED1_P0,TP12149.1
L_YELLOW_LED1_R_P0,TP12151.1
SE_SER_DO,TP12153.1
I2C_SDA2,TP12154.1
NC_JTAG_CSIGHT_TDO,TP12155.1
NC_JTAG_CSIGHT_TDI,TP12156.1
NC_JTAG_CSIGHT_TMS,TP12157.1
NC_JTAG_CSIGHT_TRST_L,TP12158.1
NC_JTAG_CSIGHT_TCK,TP12159.1
S_STRAP_SD_MH,TP12160.1
S_STRAP_OSC_FREQ1,TP12161.1
SE_UART0_TXD,TP12164.1
L_BUFF_OE_L,TP12165.1
SE_UART0_RXD,TP12166.1
VDD_SENSE_SH,TP12169.1
L_PHY_RJ45_LED1,TP12170.1
L_PHY_LED3_YELLOW,TP12171.1
L_PHY_LED1_GREEN,TP12172.1
L_PHY_RJ45_LED2,TP12173.1
SE_USBPHY_DIR,TP12174.1
I2C_SMCLK_H0,TP12176.1
NC_PRBP,TP12178.1
NC_PRBG,TP12179.1
I2C_SCL2,TP12180.1
L_USBPHY_PSW,TP12184.1
L_VDD_MODE1,TP12186.1
NC_USB_ID,TP12188.1
NC_USB_VBUS,TP12189.1
AG_SW_VCORE_P2,TP12193.1
S_CCLK_LVDS_OE,TP12196.1
1.2V,TP12199.1
1.2V_AVDDL,TP12200.1
1.8V_VDDPLLPX,TP12201.1
3.3V,TP12202.1
3.3V_PWR_USBPHY,TP12204.1
3.3V_CCLK_LVDS,TP12205.1
3.3V_CCLK_LVDS_OCS,TP12206.1
3.3V_USB_OSC,TP12208.1
3V_VBAT,TP12209.1
S_ADDR_CLK_REF,TP12212.1
S_ARM_NSRST_R_L,TP12213.1
S_ARM_OOB_RST,TP12214.1
S_FAN_PWM,TP12215.1
S_FAN_TACH,TP12216.1
S_LPMODE_P0,TP12217.1
S_OE_DIFF0_L,TP12219.1
S_OE_DIFF1_L,TP12220.1
S_OE_DIFF2_L,TP12221.1
S_PGOOD_SW_1.2V,TP12222.1
S_PGOOD_0.6V_VREF,TP12224.1
S_PGOOD_5V,TP12225.1
S_STRAP_PCI_PART1,TP12228.1
S_WAKE_L,TP12229.1
S_3.3V_EN,TP12230.1
S_5V_SS,TP12231.1
S_VCORE_SENSE_N,TP12233.1
S_VCORE_SENSE_P,TP12234.1
SE_USBPHY_D3,TP12244.1
S_PGOOD_VCORE,TP12247.1
VDD_USB_CRFILT,TP12249.1
SE_SER_DI,TP12251.1
SE_NCSI_TX_EN,TP12254.1
SE_NCSI_TX_D1,TP12255.1
SE_NCSI_ARB_IN,TP12256.1
S_STRAP_PCORE0_REVERSAL,TP12258.1
SE_NCSI_CRS_DV,TP12259.1
SE_NCSI_RX_D1,TP12260.1
SE_NCSI_RX_D0,TP12261.1
I2C_SCL0,TP12263.1
SE_NCSI_CLK_CONN,TP12264.1
SE_NCSI_CLK,TP12265.1
SE_NCSI_ARB_IN_CONN,TP12266.1
SE_NCSI_CRS_DV_R,TP12267.1
SE_NCSI_RX_D1_R,TP12268.1
SE_NCSI_RX_D0_R,TP12269.1
L_VDD_MODE0,TP12270.1
L_PHY_LED0_YELLOW,TP12273.1
12V,TP12274.1
S_MODPRS_P0_L,TP12278.1
S_PACK_ID0_CONN,TP12280.1
SE_SER_CLK,TP12281.1
S_PACK_ID2_CONN,TP12284.1
NC_VDDI_SENSE,TP12286.1
S_PORT0_PGOOD,TP12288.1
L_VR_FAULT_L,TP12289.1
S_VCC_VCORE_P1,TP12290.1
S_VCORE_P1_EN,TP12291.1
S_VCC_VCORE_P2,TP12292.1
S_VCORE_P2_EN,TP12293.1
I2C_ARM_SCL1,TP12295.1
AG_VCORE_PWM2,TP12298.1
AG_VCORE_PWM1,TP12299.1
S_TAO_VCORE,TP12301.1
S_VINSEN_VCORE,TP12302.1
3.3V_VIN_CONT,TP12303.1
S_VCORE_ACSP2_P,TP12305.1
ADDR_PMBUS_SVID_CONT,TP12306.1
S_VREF_CONT,TP12307.1
VDD_SENSE,TP12309.1
VSS_SENSE,TP12310.1
I2C_SCL_IS,TP12312.1
S_LSET_VCORE_P2,TP12315.1
NC_GMII_COL,TP12316.1
S_VCORE_ACSP1_P,TP12317.1
SE_UART0_BUFF_TXD,TP12318.1
NC_USBPHY_VBUS,TP12319.1
S_REF_ISET,TP12320.1
NC_GMII_CRS,TP12321.1
NC_TEN_FET,TP12322.1
L_1.2V_SW_SS,TP12323.1
S_1.2V_DDR_MODE,TP12324.1
S_REG_1.8V_EN,TP12325.1
NC_4PINS_VBUS,TP12328.1
S_VINSEN_VCORE_R,TP12329.1
AG_VCORE_RC_SNB_P1,TP12330.1
S_BOOT_VCORE_RC_P1,TP12331.1
S_BOOT_VCORE_P1,TP12332.1
AG_VCORE_RC_SNB_P2,TP12334.1
S_STRAP_CONFIG_ROM1,TP12336.1
AG_SW_VCORE_P1,TP12337.1
S_PERST_CONN_L,TP12338.1
S_UART_HUB_RST_L,TP12339.1
GND_VSSPLLPX,TP12340.1
VSSCPA,TP12341.1
VSSCPA1,TP12342.1
VSSCPA2,TP12343.1
5V,TP12345.1
AG_TACH,TP12346.1
S_BOOT_VCORE_P2,TP12348.1
S_BOOT_VCORE_RC_P2,TP12349.1
S_PERST_L,TP12350.1
S_RST_CONN,TP12351.1
S_1.2V_DDR_FB_R,TP12353.1
S_1.8V_FB_R,TP12354.1
S_VCORE_ACSP1_N,TP12356.1
S_LSET_VCORE_P1,TP12357.1
S_VCORE_ACSP2_N,TP12359.1
S_PACK_ID1_CONN,TP12360.1
3.3V_AUX,TP12361.1
S_1.2V_DDR_FB,TP12362.1
I2C_VRD_SCL,TP12363.1
I2C_SCL4,TP12364.1
I2C_VRD_SDA,TP12365.1
I2C_SDA4,TP12366.1
S_REG_VCORE_EN,TP12367.1
SE_SER_DI_CONN,TP12368.1
3.3V_AUX,TP12369.1
L_ZQ_2_L,TP12370.1
3V_DIF_RTC,TP12373.1
GND_CHASSIS,TP12374.1
L_ZQ_1_L,TP12375.1
12V,TP12378.1
12V,TP12379.1
12V,TP12380.1
12V,TP12381.1
12V,TP12382.1
S_1.2V_DDR_SS,TP12383.1
12V,TP12384.1
S_PGOOD_1.8V,TP12386.1
S_PGOOD_1.2V_DDR,TP12387.1
AG_1.8V_PH,TP12389.1
GND_VSSPLLPL,TP12390.1
GND,TP12391.1
GND,TP12392.1
S_STRAP_OSC_FREQ0,TP12393.1
S_HUB_RST_L,TP12394.1
S_STRAP_NON_REM1,TP12395.1
GND,TP12396.1
GND,TP12397.1
GND,TP12398.1
GND,TP12399.1
GND,TP12400.1
GND,TP12401.1
GND,TP12402.1
GND,TP12403.1
GND,TP12404.1
GND,TP12405.1
I2C_SDA_MDIO_STAB,TP12406.1
I2C_SDA_MDIO_STAB,TP12407.1
I2C_SDA_IS,TP12408.1
I2C_SCL_MDC_STAB,TP12409.1
I2C_ARM_SDA1,TP12410.1
I2C_ARM_SCL1_STAB,TP12411.1
JTAG_TCK,TP847.1
JTAG_TDI,TP848.1
JTAG_TDO,TP849.1
JTAG_TMS,TP850.1
JTAG_TRST_L,TP851.1
L_ZQ_7_L,TP959.1
L_ZQ_8_L,TP960.1
L_ZQ_6_L,TP961.1
L_ZQ_4_L,TP962.1
L_ZQ_5_L,TP964.1
L_ZQ_ECC_L,TP965.1
L_ZQ_3_L,TP966.1
DDR4_MEMRESET_L,TP968.1
GND,U1.A10
GND,U1.A11
GND,U1.A12
GND,U1.A13
GND,U1.A14
GND,U1.A15
GND,U1.A16
GND,U1.A17
GND,U1.A18
GND,U1.A19
GND,U1.A20
GND,U1.A21
GND,U1.A22
GND,U1.A23
GND,U1.A24
GND,U1.A25
GND,U1.A26
GND,U1.A27
GND,U1.A28
GND_VSSPLLPL,U1.A29
GND_VSSPLLPX,U1.A3
S_RCLK_P,U1.A30
S_RCLK_N,U1.A31
GND_VSSPLLPL,U1.A34
S_STRAP_OSC_FREQ1,U1.A35
GND,U1.A36
PCIE_PERCLK0N,U1.A4
PCIE_PERCLK0P,U1.A5
GND_VSSPLLPX,U1.A8
GND,U1.A9
GND,U1.AA1
1.8V,U1.AA10
GND,U1.AA11
GND_VSSPLLPX,U1.AA12
GND_VSSPLLPX,U1.AA13
GND_VSSPLLPX,U1.AA14
VCORE,U1.AA15
GND,U1.AA16
VCORE,U1.AA17
GND,U1.AA18
VCORE,U1.AA19
PCIE_CPU_BF_08P,U1.AA2
GND,U1.AA20
VCORE,U1.AA21
GND,U1.AA22
VCORE,U1.AA23
GND,U1.AA24
VCORE,U1.AA25
GND,U1.AA26
VCORE,U1.AA27
GND,U1.AA28
VCORE,U1.AA29
PCIE_CPU_BF_08N,U1.AA3
GND,U1.AA30
GND,U1.AA31
GND,U1.AA32
GND,U1.AA33
