column_one,column_two
*SIG $$$15015,Q7.5.U
*SIG $$$15015,Q7.6.U
*SIG $$$15015,Q7.7.U
*SIG $$$15015,Q7.14.U
*SIG $$$15015,Q7.8.U
*SIG $$$15015,Q7.9.U
*SIG $$$15015,Q7.13.U
*SIG $$$15015,Q7.10.U
*SIG $$$15015,Q7.11.U
*SIG $$$15015,Q7.12.U
*SIG $$$15015,Q7.15.U
*SIG $$$15015,Q7.16.U
*SIG $$$15015,R74.2.U
*SIG $$$15015,R94.1.U
*SIG $$$15015,R95.1.U
*SIG $$$15016,D16.2.U
*SIG $$$15016,L10.1.U
*SIG $$$15016,C47.1.U
*SIG $$$15016,U5.24.S
*SIG $$$15016,U5.1.L
*SIG $$$15017,R75.1.U
*SIG $$$15017,C47.2.U
*SIG $$$15018,U5.21.S
*SIG $$$15018,R75.2.U
*SIG $$$15019,U5.16.S
*SIG $$$15019,C48.1.U
*SIG $$$15019,C49.2.U
*SIG $$$15019,L10.2.U
*SIG $$$15019,R76.1.U
*SIG $$$15020,U5.15.S
*SIG $$$15020,C48.2.U
*SIG $$$15020,R77.1.U
*SIG $$$15021,R79.1.U
*SIG $$$15021,Q7.4.U
*SIG $$$15022,U5.14.S
*SIG $$$15022,R80.2.U
*SIG $$$15022,R81.1.U
*SIG $$$15023,U5.13.S
*SIG $$$15023,R83.2.U
*SIG $$$15023,Q10.3.U
*SIG $$$15023,R82.1.U
*SIG $$$15024,R103.2.U
*SIG $$$15024,R102.2.U
*SIG $$$15024,R1.1.U
*SIG $$$15024,Q10.1.U
*SIG $$$15025,R86.2.U
*SIG $$$15025,U5.9.L
*SIG $$$15026,C58.2.U
*SIG $$$15026,R87.2.U
*SIG $$$15027,U5.20.S
*SIG $$$15027,C59.1.U
*SIG $$$15028,FB1.1.U
*SIG $$$15028,D14.3.U
*SIG $$$15028,Q11.4.S
*SIG $$$15028,C61.1.U
*SIG $$$15029,J9.1.S
*SIG $$$15029,F4.2.U
*SIG $$$15404,U7.2.L
*SIG $$$15404,R114.2.U
*SIG $$$15405,R115.2.U
*SIG $$$15405,U7.3.L
